"","ColoRect-AdenoCA_cluster_1","ColoRect-AdenoCA_cluster_2","ColoRect-AdenoCA_cluster_3","ColoRect-AdenoCA_cluster_4","ColoRect-AdenoCA_cluster_5","ColoRect-AdenoCA_cluster_6","ColoRect-AdenoCA_cluster_7","ColoRect-AdenoCA_cluster_8","ColoRect-AdenoCA_cluster_9","ColoRect-AdenoCA_clusters_6_8_9","Panc-AdenoCA_cluster_1","Panc-AdenoCA_cluster_2","Panc-AdenoCA_cluster_3","Panc-AdenoCA_cluster_4","Panc-AdenoCA_cluster_5","Panc-AdenoCA_cluster_6","Panc-AdenoCA_cluster_7","Panc-AdenoCA_cluster_8","Panc-AdenoCA_cluster_9"
"chr2.7",481,3349,42,101,74,1,2,10,8,19,148,141,95,86,28,4,116,33,0
"chr2.8",426,3118,32,64,46,4,3,6,4,14,122,111,82,76,30,7,103,36,0
"chr2.9",271,1856,19,30,24,0,4,4,2,6,58,62,52,37,22,2,61,26,0
"chr2.10",251,1544,16,24,12,3,5,6,7,16,48,63,76,28,20,2,54,22,0
"chr2.11",233,1390,16,24,19,0,7,4,2,6,47,87,55,43,17,6,56,19,1
"chr2.12",256,1738,13,37,31,1,12,10,2,13,60,78,54,51,15,3,79,24,0
"chr2.13",437,2711,38,69,54,2,4,6,7,15,90,85,87,48,22,8,98,16,0
"chr2.14",494,3835,45,96,92,2,14,13,10,25,169,123,83,71,21,5,120,22,0
"chr2.15",317,2675,32,46,49,0,3,8,2,10,161,138,101,81,21,5,110,32,0
"chr2.16",294,2218,19,30,23,0,7,7,1,8,130,94,67,73,25,9,97,31,0
"chr2.18",373,2824,29,58,51,2,5,6,7,15,185,124,101,95,33,6,101,33,1
"chr2.19",409,2848,28,76,43,2,9,13,6,21,114,109,66,69,27,8,93,27,0
"chr2.20",324,2567,14,52,27,4,11,8,1,13,55,81,58,46,18,7,69,21,0
"chr2.21",252,1587,13,27,17,1,9,6,4,11,75,78,41,38,18,5,57,23,1
"chr2.22",458,3122,37,78,66,2,10,9,4,15,193,181,85,99,26,10,116,25,0
"chr2.23",556,4236,45,118,87,4,12,17,8,29,198,165,130,107,30,14,128,30,0
"chr2.24",288,2266,16,43,32,1,2,6,2,9,85,90,61,47,16,7,113,31,0
"chr2.25",273,2023,14,20,17,1,9,12,2,15,52,70,47,30,22,3,59,19,0
"chr2.26",256,1660,11,28,19,7,12,4,6,17,67,95,63,47,11,4,57,16,2
"chr2.27",245,1605,14,24,22,1,6,9,2,12,52,77,43,40,22,1,60,23,0
"chr2.28",255,1740,7,29,17,2,10,3,2,7,75,64,57,39,15,8,61,15,1
"chr2.29",244,1646,7,30,19,0,8,4,3,7,49,69,38,48,18,4,58,16,0
"chr2.30",420,2649,24,56,34,3,4,13,4,20,81,75,54,31,21,5,62,21,0
"chr2.31",368,2529,12,46,34,0,13,5,3,8,82,86,53,56,28,2,85,36,0
"chr2.32",377,2694,23,44,35,3,7,6,6,15,105,108,74,61,28,0,80,34,0
"chr2.34",377,2333,23,44,43,1,5,8,5,14,108,104,58,58,26,6,73,26,0
"chr2.35",500,3661,36,108,78,4,11,13,12,29,240,159,128,91,33,13,138,27,0
"chr2.36",508,4290,36,89,107,1,8,15,12,28,227,174,127,101,28,6,97,30,0
"chr2.37",337,2571,16,56,44,1,5,3,2,6,118,127,79,67,28,5,96,36,0
"chr2.38",285,2034,12,32,24,0,9,3,1,4,64,61,41,42,22,1,74,21,0
"chr2.39",250,2076,9,33,19,0,8,7,5,12,66,60,41,51,21,3,59,22,0
"chr2.40",322,2187,9,30,18,0,9,4,2,6,49,76,38,38,17,5,69,20,0
"chr2.41",435,3558,37,69,58,2,9,12,5,19,132,139,95,62,23,1,114,16,1
"chr2.42",437,3566,34,77,70,1,8,14,7,22,155,140,127,86,47,11,125,41,0
"chr2.43",257,1648,14,20,16,0,10,6,4,10,35,67,39,42,20,2,47,30,0
"chr2.44",212,1526,7,19,14,1,13,3,1,5,38,68,33,38,31,2,59,21,0
"chr2.45",248,1962,13,33,19,1,8,7,4,12,54,54,35,38,14,2,59,16,0
"chr2.46",340,2385,15,47,25,3,7,8,7,18,80,72,41,41,31,1,56,17,0
"chr2.47",251,1847,6,36,16,2,7,4,4,10,46,52,46,30,17,3,59,19,0
"chr2.48",245,1551,6,27,19,2,10,5,7,14,55,80,37,40,20,2,68,25,0
"chr2.49",374,2469,13,37,35,3,13,9,5,17,98,98,87,55,30,6,77,28,0
"chr2.50",440,3527,41,87,96,6,10,8,9,23,298,247,179,165,52,18,201,38,0
"chr2.51",626,4388,53,127,107,7,10,16,11,34,314,209,166,126,41,11,165,45,0
"chr2.52",699,4582,65,136,133,4,10,9,15,28,337,235,209,130,45,9,206,49,0
"chr2.53",667,4142,55,118,86,5,17,17,12,34,243,160,106,103,36,14,161,36,0
"chr2.54",370,2924,25,58,78,2,5,8,4,14,102,93,58,57,32,8,89,21,0
"chr2.55",236,1922,20,31,18,3,9,1,4,8,73,67,39,43,24,4,68,32,0
"chr2.56",268,2112,17,36,23,2,8,5,5,12,54,62,45,36,26,2,59,29,0
"chr2.57",437,3549,32,79,70,7,11,10,5,22,174,143,103,91,31,7,106,32,1
"chr2.58",500,4159,51,90,90,5,10,7,9,21,185,140,113,79,37,13,129,35,0
"chr2.59",405,3310,31,68,52,3,10,5,7,15,122,97,78,58,28,5,86,24,0
"chr2.60",341,3723,31,61,79,4,4,7,6,17,182,157,92,102,36,9,146,30,0
"chr2.61",296,2460,14,40,31,5,6,6,5,16,92,106,93,52,23,6,81,23,0
"chr2.62",277,2017,20,23,18,1,5,5,7,13,48,70,40,37,15,2,51,21,0
"chr2.63",278,2169,14,28,23,1,7,10,5,16,54,74,42,40,24,2,60,16,1
"chr2.64",356,2395,22,42,32,0,5,13,5,18,74,91,40,53,22,5,78,19,0
"chr2.65",316,2040,9,33,9,0,4,7,3,10,55,94,38,44,17,1,53,30,0
"chr2.66",252,1827,9,36,25,0,4,6,6,12,48,77,67,33,21,5,51,26,0
"chr2.67",469,3340,35,63,66,1,6,10,6,17,78,73,49,45,20,0,80,20,0
"chr2.68",400,3434,29,57,55,0,9,9,5,14,62,73,61,37,20,6,65,16,0
"chr2.69",353,2818,13,40,31,0,5,3,7,10,75,94,53,46,22,1,92,24,0
"chr2.70",301,2043,15,34,18,2,11,4,6,12,61,76,41,37,24,4,59,27,1
"chr2.71",273,1826,7,29,21,0,10,6,6,12,62,69,53,46,44,3,64,31,0
"chr2.72",351,2241,16,43,31,0,9,7,8,15,88,99,81,62,31,9,81,31,0
"chr2.73",305,2425,18,41,29,0,9,14,5,19,78,100,64,75,21,5,88,28,0
"chr2.74",298,2125,17,44,16,0,6,4,2,6,61,71,50,49,11,2,68,24,0
"chr2.75",246,1627,11,26,13,0,4,10,7,17,51,61,54,24,15,4,72,32,0
"chr2.76",368,2677,21,31,35,1,6,6,6,13,102,85,58,48,27,1,81,21,0
"chr2.77",503,4015,54,100,94,1,14,14,16,31,251,196,141,142,54,8,154,48,0
"chr2.78",512,4443,49,117,92,2,8,6,7,15,320,189,205,146,38,11,200,56,0
"chr2.79",526,4315,63,107,92,3,8,17,11,31,358,265,254,187,46,9,200,51,0
"chr2.80",495,3374,40,93,73,1,4,14,6,21,319,219,181,190,43,8,173,50,0
"chr2.81",428,3070,38,69,63,2,9,4,9,15,324,238,209,145,36,18,187,51,0
"chr2.82",707,4320,49,117,103,3,11,19,15,37,288,154,127,81,40,7,155,38,0
"chr2.83",447,3629,28,89,115,3,11,13,7,23,185,142,99,75,31,6,138,25,0
"chr2.84",499,3948,42,98,76,1,8,8,9,18,221,149,151,109,55,13,161,45,0
"chr2.85",291,2405,19,45,38,1,7,6,6,13,117,106,98,61,32,5,101,38,0
"chr2.86",244,1372,11,33,19,0,4,7,3,10,59,83,46,43,22,2,59,26,0
"chr2.87",250,1828,18,30,16,0,1,7,3,10,53,67,29,27,22,4,63,14,0
"chr2.96",263,2027,7,30,27,3,9,7,8,18,65,83,54,29,24,3,69,30,0
"chr2.97",321,2159,17,35,30,3,8,5,6,14,75,106,62,42,27,5,72,24,0
"chr2.98",427,2659,32,74,56,1,11,11,11,23,95,119,74,63,10,7,91,36,0
"chr2.99",265,1923,9,23,19,1,12,1,6,8,55,77,44,33,15,4,61,33,0
"chr2.100",270,2272,13,28,34,1,8,6,5,12,54,73,48,17,16,7,63,20,0
"chr2.101",450,3247,33,72,75,2,5,16,10,28,173,141,95,104,41,10,128,53,0
"chr2.102",543,3904,40,84,90,10,10,16,14,40,229,162,115,108,32,17,136,51,0
"chr2.103",300,2063,23,39,28,1,9,8,3,12,97,115,51,52,24,8,85,41,0
"chr2.105",483,3556,31,69,62,1,6,11,5,17,231,224,150,135,48,12,143,41,0
"chr2.114",633,4180,50,131,105,4,9,21,12,37,232,220,125,136,53,15,137,47,1
"chr2.115",339,3172,27,51,60,3,8,8,8,19,107,88,69,72,38,7,119,22,0
"chr2.116",333,2710,20,43,45,2,3,7,10,19,72,99,53,46,40,3,87,29,0
"chr2.117",364,2423,14,40,36,1,7,8,8,17,88,101,61,67,26,3,97,32,0
"chr2.118",287,1896,16,32,21,4,3,12,9,25,58,79,48,37,20,3,69,19,0
"chr2.119",277,1759,22,30,23,2,7,8,6,16,71,77,46,41,16,3,81,18,0
"chr2.120",359,2610,21,47,34,3,14,6,6,15,145,189,109,105,35,5,103,37,1
"chr2.121",563,4642,67,103,122,5,13,10,9,24,364,247,175,148,61,9,136,45,0
"chr2.122",588,4482,57,104,116,0,11,12,11,23,317,253,193,197,53,13,186,50,0
"chr2.123",378,3353,37,61,63,6,15,8,5,19,304,261,184,149,50,19,196,45,0
"chr2.124",373,3158,25,61,61,2,10,7,11,20,323,290,183,213,41,12,177,46,0
"chr2.125",259,1837,22,22,25,1,5,3,5,9,111,125,74,73,31,5,107,28,0
"chr2.126",253,1563,16,27,30,2,10,6,11,19,91,98,62,47,27,5,92,28,0
"chr2.127",569,3339,31,89,77,4,11,5,9,18,212,201,111,141,36,9,139,43,0
"chr2.131",367,2921,27,64,65,4,6,7,7,18,142,120,82,65,30,8,120,22,0
"chr2.132",375,2293,13,52,50,3,8,6,4,13,66,93,57,47,21,3,65,25,0
"chr2.134",389,2239,20,41,45,1,14,7,6,14,99,114,80,87,16,4,72,21,0
"chr2.135",529,3531,33,98,65,7,11,11,2,20,278,231,155,143,76,11,156,41,1
"chr2.136",257,2390,18,38,31,2,2,10,7,19,71,93,60,48,46,7,72,26,0
"chr2.137",448,3990,44,66,64,4,14,14,15,33,251,219,126,145,35,13,145,51,0
"chr2.138",496,4601,57,126,97,7,8,12,21,40,351,263,246,176,81,16,179,59,1
"chr2.140",490,4384,56,116,80,5,12,10,15,30,218,156,126,85,38,3,147,38,0
"chr2.141",464,3883,58,92,79,4,11,13,8,25,150,115,86,51,39,11,117,23,0
"chr2.142",440,3022,30,82,50,2,8,8,10,20,142,143,87,79,43,6,92,25,0
"chr2.143",532,3997,56,104,84,8,8,11,12,31,171,139,94,75,42,9,129,44,0
"chr2.144",539,4263,65,142,118,5,10,12,17,34,156,112,71,65,24,4,98,30,0
"chr2.145",382,3092,27,88,55,1,4,17,7,25,92,80,62,51,17,3,99,22,0
"chr2.146",278,2130,15,44,29,2,7,5,4,11,70,82,52,36,22,5,71,19,0
"chr2.148",330,2783,23,39,39,3,10,11,8,22,70,74,33,49,30,6,66,22,0
"chr2.149",361,3055,27,65,44,6,9,9,12,27,91,107,61,56,40,7,92,26,0
"chr2.151",383,2751,26,70,34,2,7,9,6,17,162,164,104,81,45,11,109,31,0
"chr2.152",489,3877,49,126,79,5,10,15,8,28,245,215,146,109,41,5,126,45,0
"chr2.153",415,3677,32,90,64,3,11,12,10,25,140,134,70,62,47,6,114,41,0
"chr2.154",373,2865,22,48,25,3,6,6,6,15,106,116,59,52,28,1,72,32,0
"chr2.155",260,2566,18,44,20,1,8,9,5,15,60,96,50,44,17,4,72,25,0
"chr2.156",268,2393,12,34,26,0,7,11,10,21,49,63,48,36,17,3,48,24,0
"chr2.157",266,1865,11,24,11,0,9,6,11,17,32,63,39,39,18,2,71,18,0
"chr2.158",262,1988,15,18,19,1,4,6,7,14,63,51,48,48,26,2,60,22,1
"chr2.159",361,2728,18,34,36,1,4,10,9,20,73,68,47,37,19,2,63,30,0
"chr2.160",322,2743,19,46,30,3,1,11,15,29,114,128,84,64,29,8,92,43,0
"chr2.161",410,3700,39,54,67,3,6,14,8,25,159,154,98,96,31,6,116,29,0
"chr2.162",521,3909,58,88,89,4,8,13,13,30,218,167,115,85,43,6,142,39,0
"chr2.163",335,2840,26,53,22,1,11,9,4,14,96,95,60,35,31,4,73,32,0
"chr2.164",333,2930,28,63,47,2,4,13,7,22,97,90,79,50,22,6,94,30,0
"chr2.165",388,3281,25,77,65,4,10,8,11,23,161,128,83,60,40,7,102,28,0
"chr2.166",291,2155,21,27,24,1,6,5,3,9,75,66,51,39,28,3,72,29,0
"chr2.167",273,2298,12,29,27,1,7,5,5,11,75,88,39,41,25,3,68,22,0
"chr2.168",274,2291,17,24,21,2,6,8,3,13,73,73,32,34,22,6,48,32,0
"chr2.169",286,2254,12,25,20,2,8,3,9,14,65,75,44,47,24,3,49,31,0
"chr2.170",232,1975,10,40,24,0,12,4,8,12,64,71,55,44,34,1,75,31,0
"chr2.171",251,2076,17,28,14,1,10,4,3,8,81,70,42,33,26,4,59,26,0
"chr2.172",302,2203,12,35,22,3,5,7,4,14,52,76,45,37,22,5,65,29,0
"chr2.173",359,2671,13,45,44,1,18,4,9,14,85,101,70,51,25,7,94,27,0
"chr2.174",353,2810,21,27,26,1,5,18,6,25,138,160,86,92,42,11,104,31,0
"chr2.175",325,2590,14,35,29,0,7,8,6,14,89,109,54,60,30,5,83,37,0
"chr2.176",327,2649,18,46,19,2,8,4,6,12,61,77,50,50,23,4,71,35,0
"chr2.177",339,2788,28,39,37,3,9,11,15,29,81,94,56,51,23,4,78,34,0
"chr2.178",355,3448,28,68,59,5,6,6,4,15,99,115,55,58,30,3,74,21,0
"chr2.179",360,3323,24,69,58,4,6,7,6,17,75,101,50,42,29,1,107,30,0
"chr2.180",327,2702,19,56,41,4,4,4,9,17,94,86,61,42,27,5,86,24,0
"chr2.181",351,2549,16,39,33,0,5,7,4,11,98,102,69,54,23,3,68,24,0
"chr2.182",363,3470,38,69,71,4,9,8,6,18,242,202,171,131,51,6,134,34,0
"chr2.183",402,3807,36,97,69,4,7,11,10,25,217,160,132,110,49,10,142,34,0
"chr2.184",264,2498,29,60,37,2,8,9,7,18,121,102,55,38,34,4,72,22,0
"chr2.185",333,3085,30,70,55,2,5,14,13,29,97,104,56,66,22,3,96,25,0
"chr2.186",403,3413,33,58,62,4,12,11,14,29,94,96,55,39,23,9,66,32,0
"chr2.187",401,3193,23,60,41,4,8,11,9,24,105,92,67,50,35,2,75,31,0
"chr2.188",283,2225,18,33,15,3,9,9,4,16,52,90,36,42,24,2,75,21,0
"chr2.189",284,2157,16,28,16,1,2,11,5,17,40,65,31,35,23,3,67,33,0
"chr2.190",345,2787,26,42,38,3,11,14,11,28,97,112,60,57,30,6,88,16,0
"chr2.191",407,3660,38,81,58,4,10,8,9,21,124,112,95,72,41,2,100,24,0
"chr2.192",504,3945,43,87,87,2,18,13,9,24,222,204,124,106,51,3,118,33,0
"chr2.193",308,3035,24,48,46,2,9,8,8,18,201,175,123,88,30,5,132,35,0
"chr2.194",313,2302,13,29,24,2,14,9,7,18,103,82,64,54,31,4,67,32,0
"chr2.195",273,2076,15,33,18,4,5,6,9,19,95,87,54,53,21,4,64,25,0
"chr2.196",319,2728,28,32,22,3,12,7,5,15,132,139,82,69,36,8,119,34,1
"chr2.197",230,2473,16,31,21,0,9,7,7,14,204,189,137,127,49,11,118,57,0
"chr2.198",293,2518,9,39,11,1,2,3,5,9,99,99,65,50,35,3,74,40,0
"chr2.200",330,2173,16,27,22,2,6,6,5,13,64,80,53,47,18,3,71,19,0
"chr2.202",332,2520,11,25,22,1,11,4,5,10,86,81,51,47,17,4,66,32,0
"chr2.203",261,2010,15,40,29,2,15,9,5,16,79,98,75,55,20,9,68,19,0
"chr2.204",288,1941,13,20,25,2,8,5,8,15,65,108,65,52,25,7,78,34,0
"chr2.205",417,2725,23,51,30,2,3,14,6,22,101,126,61,50,36,5,84,21,0
"chr2.206",256,1792,17,25,25,3,15,9,6,18,61,63,52,42,16,1,71,20,0
"chr2.208",444,2993,32,57,52,2,6,12,8,22,115,109,73,58,17,10,101,28,0
"chr2.209",410,3459,33,86,63,6,12,9,7,22,180,142,120,99,32,10,113,33,0
"chr2.211",421,3169,28,53,48,2,15,8,12,22,128,104,60,63,28,7,94,27,0
"chr2.213",410,3063,29,63,60,1,11,10,6,17,149,114,77,67,30,7,84,42,0
"chr2.214",335,2190,16,35,32,0,5,8,6,14,82,95,60,37,18,2,72,25,0
"chr2.215",489,2656,31,64,50,3,10,6,11,20,128,153,83,81,21,4,103,42,0
"chr2.216",340,1930,24,39,25,1,12,6,3,10,83,85,59,52,25,8,78,18,0
"chr2.217",275,1554,15,33,21,3,8,2,7,12,67,67,55,46,13,4,64,19,0
"chr2.218",395,2698,30,64,58,8,6,9,13,30,158,138,76,81,29,3,91,46,0
"chr2.219",335,3164,34,67,63,5,2,7,4,16,218,166,110,98,36,11,130,33,0
"chr2.220",351,2911,23,52,52,0,9,7,5,12,146,117,75,65,29,8,111,36,0
"chr2.221",284,2241,9,32,31,1,8,5,8,14,81,91,50,46,21,3,78,24,0
"chr2.222",320,2292,21,31,24,1,9,12,8,21,76,87,45,59,15,2,72,20,0
"chr2.223",355,2733,17,46,29,1,3,9,5,15,131,144,85,67,33,9,71,38,0
"chr2.224",422,3655,24,66,62,6,4,5,13,24,106,137,61,62,34,2,91,29,0
"chr2.225",341,2304,20,40,12,1,7,5,6,12,73,81,40,42,22,5,80,28,0
"chr2.226",297,2422,18,40,19,3,8,7,8,18,105,133,64,53,33,6,100,22,2
"chr2.227",354,3046,34,55,47,2,7,7,3,12,213,184,120,114,33,4,152,47,0
"chr2.228",356,2382,14,55,39,1,11,6,7,14,112,124,72,63,25,5,83,19,0
"chr2.229",212,1719,18,34,19,3,9,4,6,13,56,92,56,41,25,5,64,31,0
"chr2.232",273,2190,15,36,16,2,9,5,8,15,67,85,50,48,17,2,61,25,0
"chr2.233",314,2185,18,39,20,2,4,5,6,13,68,68,66,56,23,3,64,34,0
"chr2.234",275,1816,15,50,24,1,8,9,4,14,92,106,72,43,27,2,70,23,0
"chr2.235",422,2555,28,47,46,6,7,4,5,15,96,131,61,65,19,9,86,26,0
"chr2.236",242,1608,15,37,25,0,9,1,3,4,66,68,41,32,28,4,74,23,0
"chr2.237",275,1706,17,40,18,1,10,9,11,21,90,113,62,58,27,8,91,25,0
"chr2.238",418,2336,33,59,43,1,4,8,11,20,112,170,126,93,23,7,112,42,1
"chr2.239",241,1382,19,34,17,5,6,8,3,16,74,84,64,51,16,6,69,30,0
"chr20.2",368,2225,11,22,33,0,7,4,1,5,70,92,50,38,18,7,84,24,0
"chr20.3",319,2036,9,28,33,1,4,7,2,10,69,70,66,43,33,3,97,34,0
"chr20.5",379,2188,18,34,52,2,11,3,7,12,66,80,55,53,29,2,92,18,0
"chr20.6",268,1724,19,33,31,0,9,1,1,2,59,76,55,57,24,14,83,22,1
"chr20.7",350,2537,20,47,49,1,5,1,1,3,71,89,85,41,16,9,86,20,0
"chr20.8",581,3818,29,68,91,3,5,7,5,15,120,112,92,57,39,11,123,28,0
"chr20.9",401,2836,15,72,47,1,9,2,3,6,64,85,63,48,31,7,87,15,0
"chr20.10",349,2432,18,35,39,3,14,3,4,10,69,66,50,39,22,2,88,28,0
"chr20.11",316,2169,17,40,39,0,3,3,3,6,47,57,35,39,21,6,78,19,0
"chr20.12",338,2739,14,44,57,2,6,8,4,14,61,66,57,44,27,1,81,23,0
"chr20.13",382,2991,28,64,83,2,4,5,2,9,92,124,85,49,17,3,125,21,0
"chr20.14",377,2411,15,35,44,1,9,3,4,8,75,76,70,53,23,7,84,26,0
"chr20.17",360,2344,31,45,46,0,17,2,5,7,82,85,72,55,28,8,89,15,0
"chr20.18",319,2024,15,35,42,0,6,6,1,7,63,74,53,52,31,5,90,23,1
"chr20.19",330,2085,27,47,24,2,3,5,3,10,50,66,60,31,42,1,69,23,0
"chr20.20",328,2075,18,42,33,5,2,10,2,17,43,75,59,51,22,4,76,21,0
"chr20.21",348,2144,25,48,29,2,9,12,2,16,78,91,61,64,26,4,90,20,0
"chr20.22",442,2781,27,57,69,3,10,7,5,15,137,130,91,90,35,14,128,20,0
"chr20.23",436,2424,37,54,55,1,7,6,6,13,96,101,60,36,25,3,91,21,0
"chr20.24",452,2459,37,62,55,2,9,10,3,15,90,111,78,59,23,4,114,28,0
"chr20.25",448,2483,23,65,65,6,10,12,14,32,121,117,79,69,42,8,106,22,1
"chr20.28",249,1394,17,45,21,4,5,7,8,19,71,92,90,45,23,2,59,25,0
"chr20.29",301,1496,23,57,35,0,10,7,6,13,78,88,62,54,17,4,87,24,0
"chr20.33",278,1383,20,49,22,0,10,8,4,12,55,63,53,50,24,2,72,20,0
"chr20.34",348,1787,39,45,27,1,5,13,6,20,62,99,54,38,18,4,70,24,0
"chr20.35",459,2797,42,100,84,3,13,7,14,24,197,177,128,121,22,8,154,26,0
"chr20.36",429,3149,34,104,73,5,8,18,6,29,201,183,119,122,36,6,147,31,1
"chr20.37",332,1950,16,36,31,0,5,7,6,13,64,97,43,48,15,7,90,35,0
"chr20.38",563,3137,43,106,91,5,9,11,12,28,196,187,95,82,40,14,113,39,0
"chr20.39",473,2245,33,82,67,1,5,17,11,29,131,157,95,92,37,5,112,34,0
"chr20.40",264,1617,19,39,18,2,9,6,8,16,72,111,56,55,29,4,82,27,0
"chr20.41",288,1909,25,48,30,3,8,11,5,19,56,95,49,38,25,6,69,23,0
"chr20.42",337,1968,22,59,40,5,5,6,6,17,124,107,59,68,34,1,62,39,0
"chr20.43",344,1776,15,37,33,3,8,7,6,16,69,85,53,26,22,4,71,29,0
"chr20.44",392,2100,21,67,48,3,6,8,7,18,105,126,87,73,26,9,91,32,0
"chr20.45",277,1635,22,54,32,5,16,6,6,17,81,66,53,47,14,3,86,29,0
"chr20.46",228,1136,12,30,15,2,6,6,7,15,56,70,44,42,36,3,85,21,1
"chr20.47",318,1843,21,49,25,2,8,6,8,16,68,90,60,51,21,4,76,21,0
"chr20.48",383,2412,24,49,40,2,8,15,8,25,126,117,87,80,28,6,109,37,0
"chr20.49",406,2364,25,58,55,1,11,23,8,32,103,114,89,56,36,4,104,28,0
"chr20.50",410,2519,21,61,34,0,5,14,6,20,86,91,65,48,29,9,95,33,1
"chr20.51",401,2854,39,85,87,4,6,17,6,27,254,235,166,135,45,9,187,50,2
"chr20.52",396,2491,43,88,82,5,10,15,9,29,177,185,126,119,38,10,155,37,0
"chr20.53",337,1672,20,51,47,1,15,11,5,17,127,166,94,88,49,5,113,46,0
"chr20.54",337,1911,13,54,25,3,8,15,8,26,91,103,71,44,36,8,87,23,1
"chr20.55",413,2344,26,63,52,3,10,21,8,32,100,150,93,92,45,5,118,36,0
"chr20.56",598,3314,44,104,84,2,12,10,18,30,275,203,148,146,52,12,178,50,0
"chr20.57",620,2746,50,124,107,4,10,6,14,24,304,282,209,215,67,12,222,44,0
"chr20.59",239,1136,27,66,35,3,6,3,12,18,106,119,80,80,31,6,101,25,0
"chr21.14",350,2443,15,36,22,1,7,2,3,6,67,85,47,36,19,4,70,28,0
"chr21.15",458,3387,40,85,59,6,8,4,10,20,175,150,111,88,109,14,98,35,0
"chr21.17",596,3703,58,103,74,4,8,9,7,20,169,146,129,92,37,11,132,36,0
"chr21.18",748,5083,63,142,95,4,11,9,11,24,251,201,165,91,35,12,148,47,0
"chr21.19",750,5125,78,124,91,4,12,11,11,26,318,252,216,141,45,12,172,54,0
"chr21.20",688,4964,72,149,114,13,10,7,7,27,357,230,257,178,49,20,181,70,0
"chr21.21",761,4449,51,134,102,9,19,7,9,25,351,272,251,198,55,20,179,61,0
"chr21.22",811,5283,54,176,113,6,17,14,10,30,325,252,216,155,62,17,164,54,0
"chr21.23",690,4989,69,143,108,3,12,4,11,18,299,224,186,137,45,20,168,47,0
"chr21.24",483,3122,38,68,51,2,14,2,5,9,193,195,152,119,28,9,121,37,0
"chr21.25",430,2991,22,53,46,3,9,3,3,9,169,145,107,89,29,8,120,36,0
"chr21.26",573,3797,52,83,71,3,4,9,3,15,180,142,106,77,41,11,134,33,0
"chr21.27",448,3142,28,74,47,2,9,5,5,12,94,119,64,36,25,9,74,31,0
"chr21.28",364,2315,19,48,21,0,7,1,2,3,67,81,53,29,21,5,67,27,0
"chr21.29",625,4087,40,102,104,6,7,9,4,19,233,193,152,128,34,9,156,43,0
"chr21.30",458,2204,36,37,45,1,9,7,6,14,123,162,99,78,14,4,104,32,0
"chr21.31",262,1951,16,40,19,4,9,4,1,9,67,85,73,43,20,1,75,31,0
"chr21.32",284,1703,12,44,16,1,9,4,2,7,55,112,39,40,33,4,70,19,0
"chr21.33",329,1987,19,39,23,1,3,4,1,6,50,60,54,31,17,3,74,23,0
"chr21.35",261,1541,11,32,18,2,5,5,2,9,48,61,42,39,17,2,56,32,0
"chr21.36",336,2096,10,23,29,1,3,4,1,6,48,76,48,36,22,3,49,23,0
"chr21.37",306,2273,23,38,31,1,14,4,4,9,57,113,62,58,40,6,105,20,0
"chr21.38",299,1819,15,34,18,0,9,3,3,6,62,110,45,42,21,4,56,22,0
"chr21.39",537,2764,22,63,47,3,11,4,6,13,130,134,105,66,34,6,109,26,0
"chr21.41",197,1270,7,29,21,0,8,2,1,3,51,82,36,37,18,2,57,19,0
"chr21.43",235,1280,17,28,28,4,5,6,1,11,65,84,56,52,31,2,64,25,0
"chr21.44",356,1958,28,56,48,1,6,4,6,11,95,114,67,81,41,9,86,28,0
"chr22.16",272,1360,11,12,13,1,8,4,6,11,63,79,65,45,28,2,67,26,0
"chr22.20",273,1559,14,31,29,0,6,5,9,14,59,79,37,40,15,12,80,24,0
"chr22.23",404,2119,15,40,37,2,9,6,11,19,86,120,59,70,38,5,101,37,0
"chr22.24",396,2324,20,33,31,4,7,3,13,20,65,84,57,68,20,7,90,26,0
"chr22.25",304,2118,22,30,30,3,9,8,8,19,45,78,63,40,26,7,53,30,0
"chr22.27",195,1447,11,24,14,2,6,1,7,10,44,50,27,41,22,2,67,33,0
"chr22.30",353,2160,17,32,34,0,12,4,5,9,104,124,65,78,27,2,89,23,0
"chr22.31",443,2679,24,50,36,1,6,6,3,10,101,138,81,71,26,12,86,36,0
"chr22.32",275,1794,18,28,29,0,4,7,4,11,97,115,71,72,21,6,93,28,0
"chr22.33",221,1371,6,29,17,3,6,4,3,10,54,63,35,58,21,2,50,20,0
"chr22.34",232,1345,16,35,22,2,9,5,3,10,61,81,70,41,31,4,74,32,0
"chr22.36",295,1461,16,34,17,3,8,1,3,7,59,75,53,44,36,3,48,34,0
"chr22.37",293,1670,15,37,12,1,3,5,4,10,46,89,37,35,25,1,55,32,0
"chr22.40",263,1262,17,30,20,0,7,2,2,4,60,72,52,45,27,2,67,33,0
"chr22.41",371,1802,22,46,42,0,6,5,7,12,77,95,54,49,23,9,76,20,0
"chr22.42",278,1317,19,53,24,0,8,1,6,7,64,98,52,59,38,4,75,23,0
"chr22.43",231,1068,9,21,9,1,7,3,5,9,53,85,41,44,41,4,48,31,0
"chr22.44",306,1638,24,47,21,1,10,8,8,17,77,97,66,53,37,7,79,14,0
"chr22.45",607,2581,28,77,51,2,13,6,11,19,212,217,122,148,46,12,140,50,0
"chr22.46",483,2161,29,84,55,2,12,7,6,15,211,196,136,143,40,9,136,36,0
