,kidney_clear_cell,kidney_papillary,melanoma_acral_lentiginuous,melanoma_desmoplastic,melanoma_mucosal_lentiginous,melanoma_nodular,melanoma_superificial_spreading,colorectal_nos,colorectal_adeno_nos,colorectal_adeno_mucinous,CIN,GS,MSI,POLE
chr20.33,202,71,32,0,2,691,485,5,1031,738,86,13,10,1124
chr20.34,229,65,37,3,2,749,484,8,1306,957,106,8,5,1429
chr20.35,301,62,57,2,1,1273,755,24,2163,1332,201,32,13,2230
chr20.36,295,62,75,6,5,1953,1210,20,2333,1473,191,35,8,2501
chr20.37,230,50,42,5,2,1002,554,10,1420,953,83,15,5,1571
chr20.38,347,64,132,8,7,4033,2705,24,2388,1565,232,43,9,2469
chr20.39,290,91,102,7,7,2840,2019,19,1714,1201,181,41,5,1797
chr20.40,262,63,46,2,3,1395,936,5,1123,854,68,12,9,1331
chr20.41,255,70,37,0,5,1021,674,7,1333,987,103,11,8,1596
chr20.42,234,66,39,4,0,877,541,15,1443,990,103,8,5,1558
chr20.43,226,71,54,7,4,1090,696,10,1308,911,86,9,8,1427
chr20.44,288,70,50,0,2,1200,899,9,1586,1057,141,23,6,1679
chr20.45,251,59,24,2,2,612,439,7,1193,853,101,13,16,1313
chr20.46,245,70,33,2,1,627,428,5,790,647,56,14,6,921
chr20.47,262,54,47,4,4,784,527,5,1358,917,83,10,8,1468
chr20.48,270,68,75,3,9,1757,1245,15,1729,1197,122,19,8,1951
chr20.49,282,63,69,2,6,2218,1650,13,1703,1235,144,18,11,1930
chr20.50,257,68,61,3,3,1136,795,9,1764,1297,143,17,5,2068
chr20.51,372,83,141,9,11,3006,2106,26,2177,1296,220,30,6,2267
chr20.52,332,69,76,7,4,1664,1155,27,1932,1180,216,25,10,1992
chr20.53,298,72,64,5,3,1182,785,11,1248,900,122,16,15,1318
chr20.54,267,60,53,6,3,1151,682,7,1420,947,93,14,8,1521
chr20.55,316,87,62,3,3,1171,796,11,1737,1192,147,19,10,1811
chr20.56,347,71,77,4,5,1926,1259,23,2498,1665,227,55,12,2548
chr20.57,329,68,97,4,6,2022,1329,21,2274,1386,309,39,10,2105
chr20.59,253,95,38,3,2,957,588,5,932,590,133,15,6,911
chr21.14,233,53,39,1,5,967,661,7,1599,1273,90,11,7,1983
chr21.15,253,58,70,1,6,2056,1450,17,2362,1678,195,32,8,2699
chr21.17,436,71,52,2,8,1359,965,33,2673,1856,252,52,8,2909
chr21.18,603,72,111,3,6,1675,1402,26,3748,2392,337,75,11,3778
chr21.19,602,66,106,5,2,2508,2056,34,3809,2363,348,57,12,3798
chr21.20,572,71,87,5,9,1112,944,36,3611,2377,371,76,10,3960
chr21.21,614,83,103,6,6,2516,2081,23,3250,2268,352,68,19,3598
chr21.22,636,80,119,6,7,3033,2284,35,3935,2514,351,90,17,3892
chr21.23,465,65,109,2,13,2977,2438,27,3782,2220,346,56,12,3731
chr21.24,274,38,68,3,4,1859,1504,22,2216,1547,179,30,14,2460
chr21.25,252,54,50,4,6,1446,1113,31,2069,1460,132,32,9,2373
chr21.26,262,51,26,2,8,873,595,31,2751,1813,222,49,4,2954
chr21.27,189,43,53,3,4,1084,729,20,2217,1523,151,40,9,2483
chr21.28,225,60,39,2,4,616,468,14,1533,1230,86,28,7,1859
chr21.29,463,80,43,0,5,772,484,33,2974,1977,290,58,7,3048
chr21.30,247,51,34,1,5,677,477,20,1627,1156,144,36,9,1639
chr21.31,208,45,23,3,7,644,509,6,1332,968,86,10,9,1515
chr21.32,210,67,26,2,3,595,379,1,1125,949,87,11,9,1381
chr21.33,212,48,30,2,3,733,574,6,1344,1056,70,22,3,1568
chr21.35,230,54,25,3,5,577,356,4,1043,830,62,10,5,1234
chr21.36,227,55,28,2,1,839,626,10,1409,1084,75,6,3,1678
chr21.37,284,64,57,3,4,1496,1261,8,1556,1130,84,17,14,1828
chr21.38,202,58,38,3,7,1084,792,10,1210,980,57,13,9,1468
chr21.39,305,59,85,1,4,2552,1793,20,1948,1489,154,31,11,2171
chr21.41,208,56,26,0,6,771,546,2,851,682,55,4,8,1005
chr21.43,246,70,36,2,6,836,630,15,918,671,75,9,5,1020
chr21.44,237,55,26,1,3,656,487,20,1459,984,139,16,6,1538
chr22.16,220,68,36,1,2,507,376,7,957,723,44,12,8,1061
chr22.20,189,50,32,2,3,894,616,5,1065,856,75,10,6,1294
chr22.23,301,59,63,3,3,1405,936,3,1496,1144,96,19,9,1690
chr22.24,301,58,65,1,11,1428,936,6,1679,1146,83,22,7,1818
chr22.25,205,54,45,2,2,521,365,9,1518,1005,90,17,9,1723
chr22.27,209,65,37,7,4,628,401,4,943,760,39,7,6,1170
chr22.30,225,46,46,2,8,723,490,6,1503,1108,92,17,12,1728
chr22.31,271,52,110,7,10,1716,1135,9,1882,1357,126,28,6,2057
chr22.32,226,55,86,7,11,1501,1014,11,1234,914,78,14,4,1417
chr22.33,194,56,30,0,4,639,368,3,878,779,47,9,6,1101
chr22.34,209,60,53,1,5,982,660,5,905,759,73,6,9,1077
chr22.36,220,69,39,5,3,681,424,7,1040,791,62,10,8,1153
chr22.37,235,65,50,0,18,677,414,3,1117,920,59,10,3,1328
chr22.40,228,55,42,2,3,649,431,7,886,710,60,16,7,1030
chr22.41,298,73,67,3,4,814,474,13,1331,957,108,18,6,1379
chr22.42,253,55,39,3,3,672,468,4,984,718,85,9,8,1054
chr22.43,245,78,39,3,0,558,372,2,741,611,48,11,7,837
chr22.44,232,64,49,8,7,833,583,5,1175,883,77,9,10,1305
chr22.45,453,96,82,8,5,1587,1078,24,1932,1420,173,41,13,1966
chr22.46,407,58,89,3,4,1051,600,10,1658,1171,177,26,12,1675
chr3.2,249,49,64,4,7,1469,1074,25,3347,2144,289,66,12,3332
chr3.3,173,61,97,6,6,1983,1398,22,2944,2101,315,57,17,3163
chr3.4,118,47,82,4,7,2250,1474,23,2282,1609,191,27,6,2540
chr3.5,94,54,39,2,5,668,483,8,1378,1201,74,20,12,1784
chr3.6,139,59,83,5,9,1808,1305,17,1632,1305,117,27,4,2012
chr3.7,150,38,95,1,9,1991,1314,14,2031,1613,151,29,5,2504
chr3.8,135,44,90,5,9,2752,1682,19,2331,1670,185,43,8,2626
chr3.9,120,53,25,2,6,929,554,14,1591,1241,121,20,6,1861
chr3.10,140,50,56,0,2,678,464,9,1031,860,62,9,7,1311
chr3.11,171,52,52,0,2,1095,704,5,1200,1022,80,11,14,1396
chr3.12,141,55,35,4,8,913,460,7,1236,932,81,8,7,1454
chr3.13,105,54,47,3,2,882,620,8,1108,895,66,9,11,1356
chr3.14,111,66,36,3,0,1013,654,6,1279,996,93,13,8,1460
chr3.15,122,59,44,2,2,822,555,7,1056,907,66,5,6,1337
chr3.16,97,51,21,1,3,438,278,6,1212,907,59,7,7,1482
chr3.17,106,57,30,3,2,861,551,10,1980,1395,129,24,9,2337
chr3.18,120,56,53,4,3,837,619,10,1476,1134,94,13,11,1836
chr3.19,203,81,100,2,9,2047,1413,13,1741,1397,131,24,9,2149
chr3.20,189,58,71,3,8,1601,1094,10,1965,1613,125,19,14,2430
chr3.21,148,70,83,3,9,2175,1478,26,2392,1733,230,51,4,2711
chr3.22,175,49,125,3,11,3215,2279,31,3553,2464,355,81,11,3771
chr3.23,199,76,86,5,11,1971,1468,35,2911,2063,294,57,11,3308
chr3.24,103,40,43,2,2,566,361,19,1819,1418,148,32,8,2165
chr3.25,115,50,46,5,5,1328,948,9,1931,1515,95,18,3,2296
chr3.26,144,59,30,4,3,818,589,27,2024,1424,136,29,12,2294
chr3.28,138,44,33,1,7,908,595,15,1719,1277,108,15,8,2028
chr3.29,118,54,55,2,7,1310,785,18,1974,1419,125,32,6,2360
chr3.30,121,63,28,3,6,897,545,26,2404,1672,178,31,7,2762
chr3.31,135,54,31,1,7,1038,634,5,1541,1139,60,10,4,1895
chr3.32,141,68,50,2,4,811,590,4,1368,1085,70,17,3,1677
chr3.33,101,60,34,3,3,670,427,1,1188,926,67,4,8,1421
chr3.34,110,43,49,4,2,655,441,8,1355,1003,72,10,14,1635
chr3.35,177,65,102,4,7,3410,2329,8,2038,1346,130,17,4,2317
chr3.36,140,52,92,3,3,1727,1298,27,2949,1977,211,37,11,3224
chr3.37,119,57,77,6,9,2710,1839,16,2158,1548,155,41,8,2408
chr3.38,108,64,24,1,2,487,323,8,1197,853,56,5,9,1409
chr3.39,138,64,55,3,3,1416,957,10,1301,987,84,18,10,1527
chr3.40,141,52,59,2,4,1368,834,5,1430,1103,65,6,10,1793
chr3.41,102,45,32,1,6,735,493,12,1401,1096,60,11,4,1767
chr3.42,110,58,25,2,0,562,404,10,1401,1110,77,26,10,1715
chr3.43,136,55,30,2,2,696,449,6,1220,920,54,7,11,1457
chr3.44,97,50,30,0,3,586,438,7,1433,1105,65,13,5,1722
chr3.45,116,45,38,3,6,647,414,9,1562,1202,78,11,5,1861
chr3.46,117,53,28,4,5,604,413,6,1038,804,51,11,8,1268
chr3.47,132,42,33,6,4,947,572,8,1409,1076,85,14,10,1692
chr3.51,121,52,56,2,1,1087,811,5,963,744,72,13,12,1086
chr3.53,147,63,30,1,1,497,318,3,697,596,61,9,10,843
chr3.54,137,65,22,0,6,723,520,9,902,814,63,8,9,1181
chr3.55,139,42,108,10,7,2858,1919,17,1917,1309,144,20,7,2131
chr3.56,192,45,103,4,8,2288,1606,24,2038,1406,165,25,6,2371
chr3.57,135,54,56,4,2,1599,1215,16,1590,1205,105,27,8,1860
chr3.60,128,55,47,1,10,902,656,11,1819,1342,112,20,11,2210
chr3.62,153,51,47,2,3,557,410,5,1357,1026,83,18,7,1637
chr3.63,173,56,53,2,2,543,424,8,1594,1158,78,10,7,1997
chr3.64,202,61,41,1,8,845,570,0,1538,1180,66,15,8,1890
chr3.65,149,62,44,2,9,668,484,13,1736,1219,86,13,7,2024
chr3.66,141,51,74,2,6,1586,1194,12,1352,1146,84,22,5,1706
chr3.68,150,53,65,8,10,1496,1023,9,1658,1190,102,14,9,1972
chr3.69,138,47,104,6,11,3488,2412,19,2327,1598,191,34,5,2585
chr3.70,134,63,20,2,3,427,296,10,1661,1247,92,26,3,1944
chr3.71,177,51,42,5,6,1118,769,24,2437,1723,155,29,8,2865
chr3.72,142,55,46,3,5,1047,619,11,1284,1033,116,14,3,1554
chr3.73,168,54,40,2,3,813,469,4,1368,1051,73,11,5,1634
chr3.74,185,56,37,2,4,830,542,3,1512,1060,69,14,11,1782
chr3.75,242,60,82,7,3,1788,1002,12,2382,1541,160,31,12,2607
chr3.78,264,56,75,6,11,1414,929,28,2822,1723,250,58,12,3012
chr3.79,239,58,56,4,6,1735,1221,23,3202,1986,286,79,14,3299
chr3.80,308,79,69,4,8,1499,1043,34,3207,2188,265,69,10,3526
chr3.81,312,80,123,3,8,2741,2096,18,2388,1722,175,30,8,2717
chr3.82,161,57,77,3,9,1846,1226,17,1962,1376,139,23,9,2295
chr3.83,292,55,57,3,6,1661,988,30,3542,2427,347,70,8,3708
chr3.84,446,72,67,2,6,1287,806,39,3736,2697,450,85,13,4120
chr3.85,496,71,87,0,3,1631,1237,29,3872,2523,438,70,24,3991
chr3.87,445,79,113,5,11,3150,2037,25,2771,2148,273,57,11,3257
chr3.88,294,56,73,2,5,2234,1476,13,1946,1364,137,20,8,2254
chr3.89,305,69,52,5,11,2007,1260,14,2327,1635,172,26,10,2729
chr3.90,504,83,67,4,12,1853,1368,31,2855,1900,233,38,13,3192
chr3.91,287,61,89,0,11,2063,1424,34,2029,1492,181,24,8,2408
chr3.92,284,63,90,3,8,2127,1401,23,2627,1818,241,29,14,2935
chr3.93,430,85,100,3,16,2890,1936,27,3499,2282,318,71,16,3690
chr3.94,323,62,104,4,6,2999,2096,31,2682,1940,245,40,12,3123
chr3.95,270,51,52,0,9,1274,902,31,2180,1502,166,38,11,2448
chr3.96,223,68,58,0,3,1804,1054,26,2461,1654,193,49,6,2773
chr3.97,155,57,28,3,1,449,363,9,1324,1060,65,18,2,1621
chr3.98,172,53,34,0,4,680,454,10,1704,1281,96,15,7,2075
chr3.99,238,62,54,1,8,1810,1129,15,1683,1290,133,18,3,2111
chr3.100,263,63,95,1,9,2845,2057,42,2985,1975,312,43,9,3268
chr3.101,349,71,69,2,7,1964,1398,37,2780,1887,305,61,8,3024
chr3.102,225,51,55,2,10,1066,759,33,2135,1494,156,29,17,2431
chr3.103,273,78,56,0,12,1536,927,25,2275,1512,181,37,13,2530
chr3.104,214,47,43,0,6,1107,756,16,2056,1472,157,30,13,2324
chr3.105,195,56,55,1,4,1333,879,6,1384,1165,48,12,11,1799
chr3.107,251,60,73,2,5,1453,917,22,2192,1454,168,22,10,2476
chr3.108,215,47,55,1,5,1448,1051,17,1810,1324,121,16,3,2104
chr3.109,173,64,29,2,4,847,554,10,1430,1149,63,7,5,1813
chr3.110,200,68,33,3,3,624,422,12,1270,1118,80,19,10,1603
chr3.111,238,80,35,1,2,636,422,13,1451,1197,100,15,7,1832
chr3.112,185,57,37,1,3,995,583,14,2138,1506,135,18,9,2530
chr3.113,400,67,49,1,5,508,348,23,2351,1705,195,44,14,2715
chr3.115,352,63,89,2,5,2465,1687,40,2492,1892,243,50,8,2916
chr3.116,173,45,26,2,6,740,504,13,1716,1299,105,20,11,2084
chr3.117,191,57,27,0,8,532,386,6,1451,1064,69,11,9,1761
chr3.119,165,55,58,2,4,1407,1096,14,1467,1074,84,13,14,1776
chr3.120,183,54,23,1,3,628,448,3,1236,1023,63,14,7,1462
chr3.121,172,58,36,1,2,717,571,11,1415,1155,74,10,6,1755
chr3.122,206,67,24,2,3,579,404,5,1052,832,58,14,8,1259
chr3.124,220,58,43,2,5,1000,656,14,1202,924,91,10,12,1354
chr3.125,188,57,26,1,3,690,482,5,1218,896,48,10,9,1459
chr3.126,213,50,22,0,2,519,318,4,913,789,60,8,9,1120
chr3.128,184,50,39,2,3,902,725,18,1749,1308,102,15,7,2087
chr3.129,264,48,51,1,8,1200,889,13,1502,1208,100,15,5,1888
chr3.131,187,56,41,0,5,692,517,8,1274,1009,61,12,7,1504
chr3.132,207,61,51,1,7,902,730,14,2102,1262,130,30,10,2226
chr3.135,218,55,34,2,1,759,545,10,1427,1103,88,14,7,1733
chr3.136,207,54,51,5,8,1332,903,13,1379,1104,68,16,13,1685
chr3.137,219,52,80,3,10,1434,959,29,2153,1423,159,39,7,2366
chr3.138,194,61,31,0,6,785,540,3,1237,978,73,14,9,1478
chr3.139,200,67,26,2,1,519,319,6,1162,914,44,9,11,1418
chr3.140,200,49,44,2,2,770,538,12,1789,1359,82,13,3,2174
chr3.141,293,58,77,2,2,1570,1155,32,2507,1777,209,40,9,2890
chr3.142,357,72,109,3,1,2639,1977,40,3164,2147,287,72,12,3516
chr3.143,255,54,41,3,2,1217,762,18,1737,1357,111,17,7,2190
chr3.144,420,76,41,1,5,1744,1169,43,2708,1936,283,57,11,3060
chr3.145,318,70,45,0,8,1572,1161,26,2479,1660,172,41,6,2832
chr3.146,209,78,32,1,3,640,412,10,1566,1137,92,13,7,1860
chr3.147,199,55,16,1,2,505,338,9,1367,1183,78,15,5,1765
chr3.148,232,73,50,1,8,1271,811,12,1881,1366,100,15,5,2227
chr3.149,278,76,41,1,3,814,488,8,1563,1272,74,18,3,2007
chr3.150,312,62,28,2,7,820,532,18,2039,1417,137,15,11,2400
chr3.151,368,61,46,2,7,1392,833,13,2127,1490,165,33,6,2417
chr3.152,220,45,61,2,6,1425,803,15,1724,1285,103,25,6,2069
chr3.153,218,57,38,0,2,1171,778,16,1602,1272,95,18,8,1921
chr3.154,199,52,29,1,2,745,484,13,1828,1357,111,24,7,2220
chr3.156,255,64,77,1,11,2251,1599,23,2048,1419,156,25,6,2358
chr3.157,216,71,53,3,2,986,698,11,1686,1238,82,17,10,2063
chr3.158,226,61,71,2,7,1780,1236,36,1896,1357,141,20,4,2289
chr3.159,406,58,103,4,12,3317,2300,31,2855,1794,269,47,16,3057
chr3.160,445,60,91,1,12,2556,1782,35,3258,1942,294,61,4,3296
chr3.161,406,72,72,4,6,2077,1008,29,2584,1735,245,50,12,2962
chr3.162,402,86,74,0,6,1662,1056,23,2291,1572,199,31,9,2692
chr3.163,413,62,122,0,12,2401,1744,32,3321,1972,261,59,10,3439
chr3.164,299,68,103,1,6,2080,1492,30,2357,1685,241,42,12,2631
chr3.165,299,54,48,1,8,1579,1108,10,1733,1364,98,12,10,2259
chr3.166,282,55,59,3,8,2568,1919,6,1419,1131,57,15,12,1791
chr3.167,210,60,25,1,2,802,496,3,1331,1073,65,15,2,1684
chr3.168,166,69,23,2,2,612,411,11,1418,1067,68,13,6,1730
chr3.169,203,53,29,2,11,705,477,6,1232,1006,66,9,6,1527
chr3.170,205,55,36,2,7,1428,914,17,2042,1553,176,30,7,2363
chr3.171,207,50,35,2,2,506,282,27,2350,1781,171,39,15,2853
chr3.173,345,70,58,2,6,2069,1291,23,2095,1560,160,14,7,2518
chr3.174,223,56,30,0,1,702,485,7,1183,987,73,14,5,1517
chr3.175,218,63,56,1,2,1399,1022,15,1976,1493,121,19,6,2454
chr3.176,217,47,25,0,3,703,517,14,1680,1163,111,30,8,1863
chr3.177,311,85,73,1,9,2144,1366,38,2668,1780,242,43,6,2872
chr3.178,319,57,60,1,4,1400,895,22,2544,1695,202,40,4,2761
chr3.179,349,59,39,1,1,1011,672,6,1824,1439,116,26,13,2234
chr3.180,197,55,19,2,4,483,307,4,1287,1036,60,8,3,1602
chr3.181,208,65,28,0,4,749,439,5,1080,812,73,16,11,1188
chr3.182,213,62,21,0,3,470,300,5,1036,816,50,8,2,1286
chr3.183,203,49,44,1,3,721,464,6,1517,1122,90,17,10,1707
chr3.184,206,54,33,0,3,647,362,7,1671,1288,93,17,9,1938
chr3.185,205,60,30,0,3,460,293,4,1172,911,53,13,3,1441
chr3.186,203,44,70,3,8,1692,1155,10,1508,1186,74,11,4,1901
chr3.187,198,45,54,0,9,1566,1092,14,1617,1285,88,18,2,2012
chr3.188,269,54,80,2,5,1912,1285,25,2285,1612,180,42,11,2513
chr3.189,277,65,124,3,6,2833,1884,28,2692,1783,240,54,4,2883
chr3.190,226,61,45,4,7,1157,752,4,1560,1320,103,24,4,1942
chr3.191,195,54,34,0,3,650,419,7,1002,761,75,5,6,1152
chr4.3,221,66,15,4,6,447,276,6,945,718,60,11,13,1117
chr4.6,188,56,34,0,2,619,420,17,2170,1415,220,52,14,2187
chr4.7,246,55,51,3,3,983,574,7,1062,857,83,15,8,1257
chr4.8,210,50,37,0,5,847,562,8,1005,795,94,7,14,1142
chr4.11,292,59,48,0,7,978,619,6,1628,1100,57,17,9,1919
chr4.12,244,54,62,2,4,1856,1290,3,1587,1108,74,7,5,1954
chr4.13,281,67,71,4,7,2211,1397,32,2386,1687,156,36,8,2850
chr4.14,235,56,30,3,8,515,351,14,2014,1478,152,40,16,2261
chr4.15,209,60,40,3,4,522,295,19,2711,1692,223,65,14,2779
chr4.16,199,60,21,2,2,615,428,8,1621,1191,94,24,2,1947
chr4.17,255,43,45,2,15,1434,939,8,1781,1280,128,24,6,2060
chr4.18,261,63,54,5,6,1505,1019,13,1739,1323,119,24,10,2066
chr4.19,380,59,102,5,14,2095,1363,18,2606,1583,187,37,11,2953
chr4.20,344,56,91,3,15,2326,1621,23,3026,2094,297,75,7,3442
chr4.21,261,61,64,2,6,1764,1217,20,1926,1581,175,33,7,2327
chr4.22,281,55,70,1,4,2554,1903,21,2551,1715,208,50,10,2712
chr4.23,227,74,53,3,10,1440,994,4,1785,1334,102,20,9,2140
chr4.24,208,61,43,5,8,1105,784,11,1816,1408,106,12,9,2201
chr4.25,218,64,35,2,7,933,561,4,1312,1101,62,13,7,1707
chr4.26,215,58,41,2,5,800,524,3,1322,1030,72,13,11,1580
chr4.27,189,54,28,4,3,682,442,9,1582,1125,90,14,5,1788
chr4.28,406,75,74,3,9,1907,1229,25,2559,1794,222,50,12,2822
chr4.29,623,81,75,2,11,2262,1503,28,3443,2432,369,57,22,3687
chr4.30,642,102,68,6,10,1783,1172,38,4114,2780,435,81,11,4240
chr4.31,572,92,42,0,11,1032,614,28,2778,1986,282,54,11,3070
chr4.32,492,69,40,0,4,1016,633,16,2577,1877,230,62,11,2901
chr4.33,313,61,64,1,9,1686,1108,15,2947,2321,307,61,12,3486
chr4.34,414,76,66,2,8,2266,1685,25,3617,2663,391,71,10,3972
chr4.35,502,102,86,2,12,2071,1673,17,3865,2588,331,68,14,4017
chr4.36,409,74,75,8,3,2310,1706,20,2864,2091,261,50,8,3260
chr4.37,269,61,72,4,5,1701,1234,10,1975,1448,114,22,12,2363
chr4.38,243,50,34,2,3,1273,849,9,1434,1161,73,11,9,1804
chr4.39,180,48,51,1,1,755,482,6,1209,1001,54,8,5,1536
chr4.42,200,56,68,0,3,1315,744,11,1534,1169,72,20,7,1801
chr4.43,260,54,79,0,6,2207,1331,9,1887,1334,117,35,12,2210
chr4.44,481,71,123,7,6,3580,2392,22,3307,2204,306,69,13,3485
chr4.45,312,61,124,5,7,3016,2073,31,3226,2073,260,56,9,3402
chr4.46,355,62,138,5,11,3481,2394,21,2925,1908,203,47,11,3093
chr4.47,463,77,76,1,15,2768,2114,20,2530,1667,195,32,13,2765
chr4.48,251,53,48,0,8,1281,848,9,1674,1440,86,12,4,2177
chr4.49,191,60,36,4,10,749,515,7,1258,972,57,9,10,1542
chr4.52,275,50,46,4,6,679,448,18,1654,1266,106,19,8,2010
chr4.53,271,56,55,1,3,816,539,11,1594,1287,111,17,6,1953
chr4.54,234,59,45,2,3,500,320,10,1327,1009,73,13,7,1613
chr4.56,315,52,100,4,6,2647,1802,27,3360,2275,332,56,10,3510
chr4.58,535,71,119,5,7,2073,1379,42,4253,2749,432,82,13,4235
chr4.59,466,60,66,3,9,1597,1106,20,3562,2301,244,66,11,3833
chr4.60,563,87,40,3,3,1183,798,24,3019,2088,238,58,12,3505
chr4.61,497,84,51,3,7,1003,664,27,3442,2261,309,64,8,3735
chr4.62,398,73,80,2,4,2569,1723,27,3326,2527,328,66,16,3592
chr4.63,504,76,45,4,5,841,584,25,3341,2661,342,70,13,3880
chr4.64,437,92,85,2,11,2332,1572,43,3575,2657,381,79,12,3863
chr4.65,317,62,54,1,6,1552,1059,20,2233,1715,214,39,8,2605
chr4.66,227,46,69,1,2,1731,1243,11,1804,1339,133,18,6,2189
chr4.68,249,84,34,3,4,1305,908,11,1893,1336,105,27,10,2215
chr4.69,210,56,32,2,0,663,457,9,1621,1218,103,9,6,2011
chr4.70,251,61,47,2,7,1288,839,20,2539,1779,219,41,6,2960
chr4.71,218,59,39,2,12,1326,809,11,1684,1254,108,24,4,1974
chr4.74,199,59,28,0,5,673,393,7,1072,996,50,11,15,1447
chr4.75,208,60,49,0,6,982,638,4,1303,979,65,8,7,1569
chr4.76,210,57,34,0,5,729,514,6,1454,1074,64,19,8,1734
chr4.77,252,61,61,2,8,1259,818,8,1904,1339,114,14,8,2289
chr4.78,271,55,93,2,6,2218,1535,14,2132,1407,129,22,6,2443
chr4.79,240,50,65,3,4,1618,957,4,1704,1364,96,21,6,2139
chr4.80,195,45,37,2,2,1093,649,3,1623,1200,84,22,5,1961
chr4.81,202,64,38,9,2,816,540,5,1150,974,63,9,9,1446
chr4.82,247,71,60,1,2,1384,879,9,1773,1278,104,19,11,2096
chr4.83,224,79,44,4,3,656,540,11,1824,1380,102,29,2,2198
chr4.84,189,67,49,0,2,722,447,5,1819,1348,105,19,2,2189
chr4.85,223,62,33,0,3,561,362,5,1194,1025,74,5,11,1520
chr4.86,208,46,20,1,3,610,389,5,1695,1287,81,9,2,2084
chr4.87,185,54,32,2,0,613,346,8,1460,1167,78,17,5,1859
chr4.88,223,47,33,1,3,1303,745,5,1626,1424,126,31,3,2150
chr4.89,224,56,91,6,5,2587,1547,6,1866,1391,146,33,13,2175
chr4.90,387,73,79,6,2,2818,1975,15,2365,1589,163,35,4,2669
chr4.92,268,68,59,1,2,1379,900,8,1648,1249,75,10,12,2075
chr4.93,287,47,41,1,3,588,337,16,2376,1680,209,51,8,2741
chr4.94,382,64,72,2,5,1258,734,29,3117,2133,291,69,11,3406
chr4.95,258,53,100,1,4,2396,1459,18,2743,1724,252,51,11,2998
chr4.96,233,67,62,3,1,1325,836,8,1730,1299,126,22,8,2011
chr4.97,244,60,41,0,2,1352,853,7,1604,1228,68,11,8,2008
chr4.98,251,49,52,0,4,1845,1016,16,2169,1553,144,30,6,2552
chr4.99,278,51,52,3,1,1214,656,14,1829,1314,97,21,8,2258
chr4.100,186,46,35,2,5,895,533,7,1599,1244,102,21,10,1974
chr4.102,254,53,99,0,3,2452,1564,13,2498,1691,154,28,8,2954
chr4.103,157,46,59,2,5,1387,851,6,1486,1145,89,7,10,1861
chr4.104,244,65,67,1,2,1409,807,10,1438,1223,98,14,4,1791
chr4.105,309,70,68,3,4,2318,1366,12,1978,1405,144,17,5,2360
chr4.106,257,68,30,1,0,414,278,7,1741,1169,80,13,7,2023
chr4.107,232,49,28,2,0,613,326,9,1777,1427,135,22,8,2173
chr4.108,193,61,50,3,2,1412,956,8,1605,1152,88,9,5,1905
chr4.109,367,60,65,3,3,2406,1538,8,2062,1479,121,17,3,2528
chr4.110,261,51,23,1,3,789,488,5,1544,1257,97,12,4,1920
chr4.111,210,66,30,5,3,435,273,12,1815,1447,121,16,11,2202
chr4.112,200,59,31,1,2,1039,683,8,1639,1311,55,13,7,2115
chr4.113,402,61,88,0,6,2089,1406,14,2159,1618,176,35,7,2716
chr4.114,415,64,84,4,6,2891,1817,24,2984,2180,238,66,10,3467
chr4.115,354,64,102,2,1,2835,1765,24,2656,1792,204,29,4,3065
chr4.118,241,47,83,4,2,1461,970,13,2166,1570,115,24,8,2651
chr4.119,254,62,66,4,2,1207,849,17,1937,1345,121,27,7,2283
chr4.120,235,54,55,1,6,1266,793,7,1882,1313,99,21,6,2249
chr4.121,186,53,32,4,1,556,320,2,1419,1096,74,9,6,1713
chr4.122,285,47,25,3,3,657,494,9,1980,1522,115,28,6,2516
chr4.123,289,47,59,1,7,1490,991,26,2978,1931,246,71,13,3240
chr4.124,365,70,98,0,9,2386,1605,25,3466,2585,369,77,22,3884
chr4.125,271,49,65,2,8,1507,1042,26,2158,1659,211,46,7,2392
chr4.127,270,63,44,1,4,1040,647,14,1946,1422,129,25,9,2290
chr4.128,298,59,102,3,7,2456,1548,33,3541,2487,326,67,15,3844
chr4.129,347,65,84,0,7,1756,1182,25,4026,2878,375,81,10,4360
chr4.131,397,73,80,2,12,1975,1258,32,4262,3103,388,89,14,4595
chr4.132,303,55,109,3,6,2677,1589,29,3457,2224,324,74,13,3521
chr4.133,417,60,134,4,9,3109,1836,29,3724,2685,338,86,13,3969
chr4.134,428,70,126,2,12,3081,1940,38,4226,3070,372,71,9,4624
chr4.135,268,58,117,2,4,3024,1738,17,3260,2413,301,85,8,3616
chr4.136,308,59,78,4,11,1916,1140,12,2058,1499,127,22,8,2423
chr4.137,207,47,21,1,3,762,466,6,1373,984,73,9,11,1575
chr4.138,195,54,30,0,9,622,421,6,1190,1081,61,11,5,1511
chr4.139,239,54,35,5,3,776,573,13,1875,1406,118,25,4,2261
chr4.140,275,51,26,3,5,597,340,7,1629,1247,79,16,4,2039
chr4.141,203,61,27,0,2,832,464,4,1505,1291,55,17,7,1952
chr4.144,227,61,55,0,8,1209,795,6,1628,1234,85,16,5,1984
chr4.145,235,47,76,7,6,1843,1167,15,1999,1512,114,16,13,2390
chr4.146,194,73,42,2,4,833,507,7,1513,1138,71,11,3,1817
chr4.147,246,48,78,0,9,1177,652,10,1824,1369,72,9,10,2318
chr4.148,213,52,33,1,5,588,411,5,1253,1146,71,11,6,1669
chr4.149,209,72,34,3,5,562,412,4,1006,921,57,8,9,1309
